StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,section,Q1.1,Q1.2,Q1.3,Q1.4,Q2.2,Q3.1,Q3.1_7_TEXT,Q3.2,Q3.3,Q3.3_6_TEXT,Q3.4_1,Q3.5_1,Q3.6,Q3.7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.1_6,Q4.1_7,Q4.1_8,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q5.1_7,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.2_7,Q6.2_8,Q6.2_9,Q6.2_10,Q6.3_1,Q6.3_2,Q6.3_3,Q6.3_4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3_1,Q7.3_2,Q7.3_3,Q7.3_4,Q7.3_5,Q7.3_6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,,What is your First Name?,What is your Last Name?,What is your school email?,What section of CSC 110 were you in?,Please indicate your consent to participate in this study:,Why did you enroll in CSC110? (Choose up to 3 responses) - Selected Choice,Why did you enroll in CSC110? (Choose up to 3 responses) - Other (specify in the text area) - Text,Which of the following experiences did you have prior to entering Smith College? (Select all that apply.),What class year are you in? - Selected Choice,What class year are you in? - Other (Please specify) - Text,Which of the following applies to you: - Intent to declare a Computer Science MAJOR,Which of the following applies to you: - Intent to declare a Computer Science MINOR,What is your first major (NA if you did not declare yet),"What is your second major, minor, or program of study or concentration (NA if you don't have one)",Please rate your agreement with the following statements: - Tests are important for learning course materials.,Please rate your agreement with the following statements: - Tests are useful for measuring my own understanding of the content of a course,Please rate your agreement with the following statements: - Tests are useful as a way to see if a student has met the requirements of the course,Please rate your agreement with the following statements: - I prefer Multiple-Choice to Open-Answer questions,Please rate your agreement with the following statements: - I study less time for a Multiple-Choice test than for an Open-Answer question test,"Please rate your agreement with the following statements: - After a test, I feel the need to study the results to improve my understanding.","Please rate your agreement with the following statements: - If I do badly on a test, I don't feel motivated to study the results to improve y understanding.","Please rate your agreement with the following statements: - If there is a chance to gain points back, I feel more motivated to understand my mistakes and correct my understanding.",Please rate your agreement with the following statements: - A multiple-choice test is a fair evaluation of what I can learn in the class.,Please rate your agreement with the following statements: - An open-answer question test is a fair evaluation of what I can learn in the class.,Please rate your agreement with the following statements: - I feel less time pressure in a Multiple-choice question test than in an open-answer question test.,"Please rate your agreement with the following statements: - In general, If I have more time to complete a test, I have a better result.","Please rate your agreement with the following statements: - When answering a multiple-choice question, I sometimes feel that I need to add a note or clarifying comment","Please rate your agreement with the following statements: - When answering a free-form question, I sometimes have trouble knowing how to answer",Please rate your agreement with the following statements: - I think it is very important to be able to fully explain myself when answering a question,"Please indicate how often you engage in the following actions: - In preparing for a test, I study in one sitting.","Please indicate how often you engage in the following actions: - In preparing for a test, I study the results of previous tests.","Please indicate how often you engage in the following actions: - In preparing for a test, I study by myself.",Please indicate how often you engage in the following actions: - Having a test helps me focus in order to learn the materials,Please rate your agreement with the following statements: - The benefit of a test is that it forces you to study.,Please rate your agreement with the following statements: - I use the test results to check and possibly argue my grade,Please rate your agreement with the following statements: - I study the results of a test in order to improve my understanding.,Please rate your agreement with the following statements: - I am able to get useful information from the results of a Multiple-Choice Question Test.,Please rate your agreement with the following statements: - I am able to get useful information from the results of an Open-Answer Question Test.,"Please rate your agreement with the following statements: - Feedback, in addition to the test results, is very important",Please rate your agreement with the following statements: - I use the instructor's test feedback to restudy after a test.,"Please rate your agreement with the following statements: - If the feedback on a test is too long, I tend to only focus on the results and only scan the feedback.",Please rate your agreement with the following statements: - Getting the expected correct answer as feedback is enough to understand why I got a question wrong.,Please rate your agreement with the following statements: - It is always useful to get the difference between my incorrect answers and the expected correct answers.,"Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying/preparing for a test (such as for a midterm)?","Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying the results after receiving a test grade (such as for a midterm)?","Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying/preparing for a final exam?","Please indicate the number of hours devoted to the following actions: - How many hours do you estimate you spend, on average, studying the results after receiving a final grade?",Please rate your agreement with the following statements: - I have a difficult time organizing my thoughts when I take a test.,Please rate your agreement with the following statements: - I have difficulty thinking clearly while I take a test.,Please rate your agreement with the following statements: - I have a hard time paying attention when I take a test.,Please rate your agreement with the following statements: - My mind wanders when I take a test.,Please rate your agreement with the following statements: - I worry a lot about tests.,Please rate your agreement with the following statements: - I get nervous before I have to take a test.,Please rate your agreement with the following statements: - I am nervous when my instructor hands me my graded test.,Please rate your agreement with the following statements: - I continue to worry about a test even though it is over.,Please rate your agreement with the following statements: - I worry that I might know the answer but have trouble expressing it correctly,Please rate your agreement with the following statements: - I worry that the exam might not be able to show my level of understanding,Please rate your agreement with the following statements: - A Multiple-Choice Question test makes me feel less anxious,Please rate your agreement with the following statements: - If I know I have to provide free-form answers I get more anxious,Please rate your agreement with the following statements: - Having to answer many short questions is better than a few larger questions,Please rate your agreement with the following statements: - Tests with many rules make me anxious
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}",,"{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID27""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_7_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_6_TEXT""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_7""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID36_11""}","{""ImportId"":""QID36_12""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}"
##########,##########,IP Address,,100,637,TRUE,##########,R_2qn58235Ujuf8Bl,,,,,,,anonymous,EN,1,,apricot-pea,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,,First Year,,I am sure that I will NOT Declare a CS Major,I lean towards NOT Declaring a CS Minor,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Often,Often,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Between 1 and 2 hours,Less than 1 hour,Between 1 and 5 hours,Between 1 and 2 hours,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
##########,##########,IP Address,,100,53158,TRUE,##########,R_3Kw1ePuZLBXq1Fs,,,,,,,anonymous,EN,1,,apricot-tomato,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I do not agree to participate and will be excluded from the remainder of the questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##########,##########,IP Address,,100,887,TRUE,##########,R_1OjYCTuFQ8zQ0m1,,,,,,,anonymous,EN,1,,aquamarine-cucumber,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to",,"Took AP Calculus AB,Took other AP courses,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)",First Year,,I lean towards NOT Declaring a CS Major,I might or might not declare a CS Minor,NA,NA,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Never,Often,Often,Always,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Between 5 and 10 hours,Between 1 and 2 hours,More than 10 hours,Less than 1 hour,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
##########,##########,IP Address,,100,1605,TRUE,##########,R_CfeC166ovWmrp8B,,,,,,,anonymous,EN,1,,bittersweet-potato,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,First Year,,I am sure that I will NOT Declare a CS Major,I am sure that I will NOT Declare a CS Minor,Anthropology,"Hoping to double major in SDS, if not, definitely minor:)",Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Never,Often,Often,Often,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Between 5 and 10 hours,Between 1 and 2 hours,Between 5 and 10 hours,Between 1 and 2 hours,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
##########,##########,IP Address,,100,546,TRUE,##########,R_XG30Y2FBR8Ken3X,,,,,,,anonymous,EN,1,,bittersweet-tubers,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It was required for my major/minor,Curiosity or interest in computer science",,"Took AP Computer Science Principles,Took a computer science or programming course not associated with AP or dual enrollment,Learned a computer programming language on my own,Engaged in software or hardware related projects,Took part in student groups related to computer science,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)",First Year,,I am sure that I will NOT Declare a CS Major,I lean towards NOT Declaring a CS Minor,NA,NA,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Rarely,Sometimes,Often,Never,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
##########,##########,IP Address,,100,1392,TRUE,##########,R_1poFroo0iQCZ3bP,,,,,,,anonymous,EN,1,,black-turnip,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,Took a computer science or programming course not associated with AP or dual enrollment,First Year,,I lean towards NOT Declaring a CS Major,I might or might not declare a CS Minor,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Often,Often,Often,Always,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Between 1 and 5 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
##########,##########,IP Address,,100,9628,TRUE,##########,R_pMnoJRuIzjc9Owx,,,,,,,anonymous,EN,1,,blue-watercress,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"It fulfilled another requirement,Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,First Year,,I lean towards NOT Declaring a CS Major,I might or might not declare a CS Minor,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Rarely,Often,Often,Rarely,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Between 1 and 5 hours,Between 1 and 2 hours,Between 5 and 10 hours,Between 1 and 2 hours,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
##########,##########,IP Address,,100,5307,TRUE,##########,R_28SD8RhqI2QijR0,,,,,,,anonymous,EN,1,,brown-bilberry,,Section 1: 8:00 AM - 9:15 AM with Pablo Frank,I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.,"Curiosity or interest in computer science,It helped build my computer science skills for my other interests",,,First Year,,I might or might not declare a CS major,I might or might not declare a CS Minor,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Often,Often,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Between 5 and 10 hours,Less than 1 hour,Between 5 and 10 hours,Less than 1 hour,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
